flight_id,scheduled_arrival,actual_arrival,cleaning_time,fueling_time,boarding_time,baggage_time,weather_condition,gate_available,crew_ready_offset,gate_delay,weather_delay,crew_delay_impact,actual_turnaround_time,scheduled_departure,actual_departure,departure_delay_minutes,is_delayed
AX202,2024-02-29 22:42:00,2024-02-29 22:40:00,25.7,16.9,23.9,26.6,Sunny,1,-32.7,0,0.0,0.0,50.5,2024-02-29 23:27:00,2024-02-29 23:30:30.000000000,3.5,0
AX535,2024-01-31 22:45:00,2024-01-31 22:43:00,16.9,16.8,21.0,21.5,Snowy,1,16.4,0,29.717481758635877,16.4,72.21748175863587,2024-01-31 23:30:00,2024-01-31 23:55:13.048905516,25.2174817586,1
AX960,2024-01-15 00:23:00,2024-01-15 00:26:00,25.2,12.3,18.9,18.1,Snowy,1,-10.8,0,27.025610555490783,0.0,71.12561055549078,2024-01-15 01:08:00,2024-01-15 01:37:07.536633330,29.1256105555,1
AX370,2024-03-21 01:46:00,2024-03-21 01:46:00,17.4,20.2,22.4,17.9,Sunny,1,24.6,0,0.0,24.6,42.599999999999994,2024-03-21 02:31:00,2024-03-21 02:28:36.000000000,-2.4,0
AX206,2024-01-01 18:52:00,2024-01-01 18:51:00,19.2,14.2,23.1,23.2,Sunny,1,7.3,0,0.0,7.3,46.3,2024-01-01 19:37:00,2024-01-01 19:37:18.000000000,0.3,0
AX171,2024-01-27 13:39:00,2024-01-27 13:41:00,19.1,12.6,31.0,16.6,Rainy,1,14.2,0,4.009982565281963,14.2,54.10998256528197,2024-01-27 14:24:00,2024-01-27 14:35:06.598953918,11.1099825653,0
AX800,2024-03-08 02:12:00,2024-03-08 02:15:00,15.0,19.7,25.1,20.8,Sunny,1,-9.2,0,0.0,0.0,45.900000000000006,2024-03-08 02:57:00,2024-03-08 03:00:54.000000000,3.9,0
AX120,2024-02-14 05:08:00,2024-02-14 05:06:00,11.3,19.2,16.6,24.8,Rainy,1,-6.8,0,4.621550248487929,0.0,46.021550248487934,2024-02-14 05:53:00,2024-02-14 05:52:01.293014910,-0.9784497515,0
AX714,2024-03-30 03:15:00,2024-03-30 03:15:00,26.1,14.8,32.2,30.1,Sunny,1,-0.1,0,0.0,0.0,62.300000000000004,2024-03-30 04:00:00,2024-03-30 04:17:18.000000000,17.3,1
AX221,2024-01-27 18:43:00,2024-01-27 18:50:00,16.5,17.1,27.3,25.8,Sunny,1,-5.2,0,0.0,0.0,53.1,2024-01-27 19:28:00,2024-01-27 19:43:06.000000000,15.1,1
AX566,2024-03-05 01:07:00,2024-03-05 01:07:00,18.7,17.6,26.7,17.4,Sunny,1,0.2,0,0.0,0.2,45.4,2024-03-05 01:52:00,2024-03-05 01:52:24.000000000,0.4,0
