text,label,label_encoded,text_length,word_count
Having trouble managing my emotions lately.,high_stress,1,43,6
Having trouble managing my emotions lately.,high_stress,1,43,6
can't seem to focus on anything. mind is all over the place.,high_stress,1,60,12
Looking forward to the vacation next month.,low_stress,0,43,7
I don't see a way out of this situation anymore.,crisis,2,48,10
"Today, work-life balance is completely off. need a break.",high_stress,1,57,9
Work-life balance is completely off. Need a break. Work has been really overwhelming lately. So many deadlines.,high_stress,1,111,17
The pain is unbearable. I don't want to feel this way anymore.,crisis,2,62,12
Feeling positive about the future.,low_stress,0,34,5
"Yesterday, life feels meaningless. i don't want to be here.",crisis,2,59,10
"Lately, can't stop thinking about ending everything. I can't do this anymore. The suffering is too much.",crisis,2,104,17
Enjoying my new hobby. It's very relaxing.,low_stress,0,42,7
Feeling content with life right now. Had a restful sleep last night. Feeling refreshed.,low_stress,0,87,14
"This week, worried about my health. need to see a doctor soon.",high_stress,1,62,12
"Yesterday, the darkness is overwhelming. i see no light ahead.",crisis,2,62,10
Had a great day at work today. Feeling productive and happy. Just finished a nice walk in the park. The weather is beautiful.,low_stress,0,125,23
"Recently, haven't been sleeping well. mind keeps racing at night.",high_stress,1,65,10
Feeling positive about the future. Feeling content with life right now.,low_stress,0,71,11
"Recently, i can't do this anymore. the suffering is too much. I'm a burden to everyone. They'd be better off without me.",crisis,2,120,22
Can't handle the pain anymore. Need it to stop. Life feels meaningless. I don't want to be here.,crisis,2,96,18
"Yesterday, feeling positive about the future.",low_stress,0,45,6
"Recently, had a nice dinner with friends. good times! Had a great day at work today. Feeling productive and happy.",low_stress,0,114,20
"Today, feeling content with life right now.",low_stress,0,43,7
Everyone would be happier if I wasn't around.,crisis,2,45,8
Relationship problems are causing a lot of stress.,high_stress,1,50,8
I want to disappear. Nobody would even notice.,crisis,2,46,8
The pain is unbearable. I don't want to feel this way anymore. Can't stop thinking about ending everything.,crisis,2,107,18
feeling overwhelmed by responsibilities.,high_stress,1,40,4
Grateful for the support from my colleagues.,low_stress,0,44,7
worried about my health. need to see a doctor soon. Relationship problems are causing a lot of stress.,high_stress,1,102,18
Having trouble managing my emotions lately.,high_stress,1,43,6
work has been really overwhelming lately. so many deadlines.,high_stress,1,60,9
Finished reading a great book. Highly recommend it.,low_stress,0,51,8
I don't see a way out of this situation anymore.,crisis,2,48,10
Had a restful sleep last night. Feeling refreshed.,low_stress,0,50,8
"This week, had a restful sleep last night. feeling refreshed.",low_stress,0,61,10
"This week, i can't do this anymore. the suffering is too much.",crisis,2,62,12
Just finished a nice walk in the park. The weather is beautiful. Feeling positive about the future.,low_stress,0,99,17
"Recently, just finished a nice walk in the park. the weather is beautiful.",low_stress,0,74,13
"Today, haven't been sleeping well. mind keeps racing at night. Feeling burned out. Everything feels like too much.",high_stress,1,114,18
Had a nice dinner with friends. Good times!,low_stress,0,43,8
"This month, made progress on my goals today. feeling motivated.",low_stress,0,63,10
Grateful for the support from my colleagues. Just finished a nice walk in the park. The weather is beautiful.,low_stress,0,109,19
Had a nice dinner with friends. Good times!,low_stress,0,43,8
Work has been really overwhelming lately. So many deadlines. Had a difficult conversation today. Still feeling tense.,high_stress,1,117,17
Struggling to keep up with everything. Feeling exhausted.,high_stress,1,57,8
"Recently, i can't do this anymore. the suffering is too much.",crisis,2,61,11
"Today, completed my project on time. feeling accomplished!",low_stress,0,58,8
"Today, the darkness is overwhelming. i see no light ahead.",crisis,2,58,10
"Lately, worried about my health. need to see a doctor soon.",high_stress,1,59,11
had a difficult conversation today. still feeling tense.,high_stress,1,56,8
Life feels meaningless. I don't want to be here.,crisis,2,48,9
"Lately, feeling content with life right now.",low_stress,0,44,7
"This week, everyone would be happier if i wasn't around.",crisis,2,56,10
"This week, feeling positive about the future.",low_stress,0,45,7
Everyone would be happier if I wasn't around.,crisis,2,45,8
Relationship problems are causing a lot of stress. Financial stress is getting to me. Bills keep piling up.,high_stress,1,107,18
"Today, made progress on my goals today. feeling motivated. Looking forward to the vacation next month.",low_stress,0,102,16
"Yesterday, everyone would be happier if i wasn't around.",crisis,2,56,9
"Yesterday, worried about my health. need to see a doctor soon.",high_stress,1,62,11
"Yesterday, grateful for the support from my colleagues.",low_stress,0,55,8
"Yesterday, had a productive workout session this morning.",low_stress,0,57,8
Made progress on my goals today. Feeling motivated. Completed my project on time. Feeling accomplished!,low_stress,0,103,15
"Yesterday, just finished a nice walk in the park. the weather is beautiful.",low_stress,0,75,13
Had a good conversation with my family today.,low_stress,0,45,8
"Recently, having trouble managing my emotions lately.",high_stress,1,53,7
"Lately, having trouble managing my emotions lately. Feeling anxious about the upcoming presentation.",high_stress,1,100,13
"Yesterday, had a difficult conversation today. still feeling tense.",high_stress,1,67,9
relationship problems are causing a lot of stress. Had a difficult conversation today. Still feeling tense.,high_stress,1,107,16
Had a nice dinner with friends. Good times!,low_stress,0,43,8
haven't been sleeping well. mind keeps racing at night.,high_stress,1,55,9
The pain is unbearable. I don't want to feel this way anymore.,crisis,2,62,12
can't handle the pain anymore. need it to stop.,crisis,2,47,9
Worried about my health. Need to see a doctor soon.,high_stress,1,51,10
Had a nice dinner with friends. Good times!,low_stress,0,43,8
"Recently, enjoying my new hobby. it's very relaxing.",low_stress,0,52,8
i want to disappear. nobody would even notice.,crisis,2,46,8
I don't see a way out of this situation anymore. The pain is unbearable. I don't want to feel this way anymore.,crisis,2,111,22
the darkness is overwhelming. i see no light ahead.,crisis,2,51,9
"This month, feeling like there's no point in continuing.",crisis,2,56,9
Work has been really overwhelming lately. So many deadlines.,high_stress,1,60,9
anxiety has been high this week. hard to relax. Anxiety has been high this week. Hard to relax.,high_stress,1,95,18
Looking forward to the vacation next month.,low_stress,0,43,7
Financial stress is getting to me. Bills keep piling up.,high_stress,1,56,10
Life feels meaningless. I don't want to be here.,crisis,2,48,9
"This month, made progress on my goals today. feeling motivated.",low_stress,0,63,10
"Recently, i've been planning to hurt myself. can't take it anymore. Everyone would be happier if I wasn't around.",crisis,2,113,19
"Recently, haven't been sleeping well. mind keeps racing at night.",high_stress,1,65,10
Life feels meaningless. I don't want to be here.,crisis,2,48,9
I don't see a way out of this situation anymore.,crisis,2,48,10
had a nice dinner with friends. good times!,low_stress,0,43,8
"This month, can't seem to focus on anything. mind is all over the place. Feeling overwhelmed by responsibilities.",high_stress,1,113,18
Everyone would be happier if I wasn't around.,crisis,2,45,8
having trouble managing my emotions lately. Work has been really overwhelming lately. So many deadlines.,high_stress,1,104,15
Feeling isolated. Haven't seen friends in weeks.,high_stress,1,48,7
"Recently, finished reading a great book. highly recommend it. Finished reading a great book. Highly recommend it.",low_stress,0,113,17
"Lately, i'm going to end it all soon. made my decision. I want to disappear. Nobody would even notice.",crisis,2,102,19
Feeling like there's no point in continuing.,crisis,2,44,7
Grateful for the support from my colleagues.,low_stress,0,44,7
Feeling anxious about the upcoming presentation. Can't seem to focus on anything. Mind is all over the place.,high_stress,1,109,18
Feeling completely hopeless. Nothing seems to matter.,crisis,2,53,7
"Today, had a restful sleep last night. feeling refreshed.",low_stress,0,57,9
Excited about the weekend plans with friends.,low_stress,0,45,7
Relationship problems are causing a lot of stress. Anxiety has been high this week. Hard to relax.,high_stress,1,98,17
"Yesterday, work has been really overwhelming lately. so many deadlines.",high_stress,1,71,10
Had a good conversation with my family today.,low_stress,0,45,8
had a difficult conversation today. still feeling tense.,high_stress,1,56,8
Grateful for the support from my colleagues.,low_stress,0,44,7
Had a productive workout session this morning.,low_stress,0,46,7
Anxiety has been high this week. Hard to relax. Feeling isolated. Haven't seen friends in weeks.,high_stress,1,96,16
"Recently, everyone would be happier if i wasn't around.",crisis,2,55,9
"Recently, enjoying my new hobby. it's very relaxing.",low_stress,0,52,8
The darkness is overwhelming. I see no light ahead.,crisis,2,51,9
Thinking about suicide constantly. Can't escape these thoughts. Can't stop thinking about ending everything.,crisis,2,108,14
feeling positive about the future.,low_stress,0,34,5
Can't stop thinking about ending everything.,crisis,2,44,6
Made progress on my goals today. Feeling motivated. Completed my project on time. Feeling accomplished!,low_stress,0,103,15
"Today, had a restful sleep last night. feeling refreshed.",low_stress,0,57,9
"Recently, had a difficult conversation today. still feeling tense.",high_stress,1,66,9
"Lately, feeling isolated. haven't seen friends in weeks.",high_stress,1,56,8
"Today, feeling like there's no point in continuing.",crisis,2,51,8
Anxiety has been high this week. Hard to relax.,high_stress,1,47,9
"This month, grateful for the support from my colleagues. Had a restful sleep last night. Feeling refreshed.",low_stress,0,107,17
Can't seem to focus on anything. Mind is all over the place.,high_stress,1,60,12
feeling overwhelmed by responsibilities. Feeling isolated. Haven't seen friends in weeks.,high_stress,1,89,11
I want to disappear. Nobody would even notice.,crisis,2,46,8
"This month, can't seem to focus on anything. mind is all over the place.",high_stress,1,72,14
Had a nice dinner with friends. Good times! Enjoying my new hobby. It's very relaxing.,low_stress,0,86,15
"This month, feeling positive about the future. Excited about the weekend plans with friends.",low_stress,0,92,14
Finished reading a great book. Highly recommend it.,low_stress,0,51,8
The darkness is overwhelming. I see no light ahead.,crisis,2,51,9
Relationship problems are causing a lot of stress. Haven't been sleeping well. Mind keeps racing at night.,high_stress,1,106,17
"Recently, haven't been sleeping well. mind keeps racing at night.",high_stress,1,65,10
Work has been really overwhelming lately. So many deadlines.,high_stress,1,60,9
"Today, made progress on my goals today. feeling motivated. Had a great day at work today. Feeling productive and happy.",low_stress,0,119,20
"This week, had a nice dinner with friends. good times! Enjoying my new hobby. It's very relaxing.",low_stress,0,97,17
"Recently, had a restful sleep last night. feeling refreshed.",low_stress,0,60,9
"Recently, had a difficult conversation today. still feeling tense. Anxiety has been high this week. Hard to relax.",high_stress,1,114,18
Having trouble managing my emotions lately.,high_stress,1,43,6
I've been planning to hurt myself. Can't take it anymore. Feeling like there's no point in continuing.,crisis,2,102,17
"Recently, i'm a burden to everyone. they'd be better off without me. Life feels meaningless. I don't want to be here.",crisis,2,117,21
Feeling overwhelmed by responsibilities.,high_stress,1,40,4
"Yesterday, i want to disappear. nobody would even notice. I can't do this anymore. The suffering is too much.",crisis,2,109,19
"Recently, the pain is unbearable. i don't want to feel this way anymore.",crisis,2,72,13
"Today, i'm a burden to everyone. they'd be better off without me.",crisis,2,65,12
"This week, feeling positive about the future. Excited about the weekend plans with friends.",low_stress,0,91,14
Feeling like there's no point in continuing.,crisis,2,44,7
Thinking about suicide constantly. Can't escape these thoughts.,crisis,2,63,8
"This week, thinking about suicide constantly. can't escape these thoughts.",crisis,2,74,10
"Yesterday, feeling content with life right now. Had a good conversation with my family today.",low_stress,0,93,15
Work-life balance is completely off. Need a break.,high_stress,1,50,8
"Lately, feeling like there's no point in continuing. I want to disappear. Nobody would even notice.",crisis,2,99,16
had a restful sleep last night. feeling refreshed.,low_stress,0,50,8
Can't handle the pain anymore. Need it to stop. Everyone would be happier if I wasn't around.,crisis,2,93,17
"This month, grateful for the support from my colleagues.",low_stress,0,56,9
"This month, feeling burned out. everything feels like too much.",high_stress,1,63,10
had a nice dinner with friends. good times! Had a good conversation with my family today.,low_stress,0,89,16
"Recently, i'm a burden to everyone. they'd be better off without me.",crisis,2,68,12
"Today, can't seem to focus on anything. mind is all over the place.",high_stress,1,67,13
can't handle the pain anymore. need it to stop.,crisis,2,47,9
Had a difficult conversation today. Still feeling tense.,high_stress,1,56,8
Financial stress is getting to me. Bills keep piling up.,high_stress,1,56,10
"This week, made progress on my goals today. feeling motivated.",low_stress,0,62,10
Had a productive workout session this morning.,low_stress,0,46,7
Feeling isolated. Haven't seen friends in weeks.,high_stress,1,48,7
"Recently, worried about my health. need to see a doctor soon. Feeling burned out. Everything feels like too much.",high_stress,1,113,19
"Recently, feeling positive about the future. Feeling positive about the future.",low_stress,0,79,11
Can't handle the pain anymore. Need it to stop.,crisis,2,47,9
The darkness is overwhelming. I see no light ahead.,crisis,2,51,9
Feeling content with life right now. Made progress on my goals today. Feeling motivated.,low_stress,0,88,14
"Lately, everyone would be happier if i wasn't around.",crisis,2,53,9
Everyone would be happier if I wasn't around.,crisis,2,45,8
Work has been really overwhelming lately. So many deadlines.,high_stress,1,60,9
Made progress on my goals today. Feeling motivated.,low_stress,0,51,8
The darkness is overwhelming. I see no light ahead. The darkness is overwhelming. I see no light ahead.,crisis,2,103,18
feeling burned out. everything feels like too much.,high_stress,1,51,8
I'm going to end it all soon. Made my decision. The pain is unbearable. I don't want to feel this way anymore.,crisis,2,110,22
worried about my health. need to see a doctor soon.,high_stress,1,51,10
made progress on my goals today. feeling motivated. Grateful for the support from my colleagues.,low_stress,0,96,15
Relationship problems are causing a lot of stress.,high_stress,1,50,8
Had a restful sleep last night. Feeling refreshed.,low_stress,0,50,8
"Yesterday, the darkness is overwhelming. i see no light ahead.",crisis,2,62,10
"Today, haven't been sleeping well. mind keeps racing at night.",high_stress,1,62,10
Everyone would be happier if I wasn't around.,crisis,2,45,8
"This week, grateful for the support from my colleagues.",low_stress,0,55,9
completed my project on time. feeling accomplished! Had a great day at work today. Feeling productive and happy.,low_stress,0,112,18
had a great day at work today. feeling productive and happy.,low_stress,0,60,11
I'm a burden to everyone. They'd be better off without me.,crisis,2,58,11
"Today, feeling anxious about the upcoming presentation.",high_stress,1,55,7
"Today, relationship problems are causing a lot of stress. Struggling to keep up with everything. Feeling exhausted.",high_stress,1,115,17
"This week, feeling content with life right now.",low_stress,0,47,8
Can't seem to focus on anything. Mind is all over the place. Struggling to keep up with everything. Feeling exhausted.,high_stress,1,118,20
Work-life balance is completely off. Need a break.,high_stress,1,50,8
Grateful for the support from my colleagues.,low_stress,0,44,7
Work-life balance is completely off. Need a break.,high_stress,1,50,8
everyone would be happier if i wasn't around.,crisis,2,45,8
Looking forward to the vacation next month. Enjoying my new hobby. It's very relaxing.,low_stress,0,86,14
i'm going to end it all soon. made my decision.,crisis,2,47,10
Made progress on my goals today. Feeling motivated.,low_stress,0,51,8
Finished reading a great book. Highly recommend it.,low_stress,0,51,8
Work-life balance is completely off. Need a break.,high_stress,1,50,8
"Recently, haven't been sleeping well. mind keeps racing at night.",high_stress,1,65,10
Had a nice dinner with friends. Good times!,low_stress,0,43,8
"Today, can't stop thinking about ending everything.",crisis,2,51,7
"Today, can't seem to focus on anything. mind is all over the place.",high_stress,1,67,13
"Recently, can't seem to focus on anything. mind is all over the place.",high_stress,1,70,13
"Recently, can't handle the pain anymore. need it to stop.",crisis,2,57,10
"Lately, everyone would be happier if i wasn't around. Feeling like there's no point in continuing.",crisis,2,98,16
Grateful for the support from my colleagues.,low_stress,0,44,7
I've been planning to hurt myself. Can't take it anymore. I don't see a way out of this situation anymore.,crisis,2,106,20
"Yesterday, everyone would be happier if i wasn't around.",crisis,2,56,9
Struggling to keep up with everything. Feeling exhausted.,high_stress,1,57,8
Work has been really overwhelming lately. So many deadlines.,high_stress,1,60,9
"Yesterday, can't stop thinking about ending everything.",crisis,2,55,7
Had a nice dinner with friends. Good times!,low_stress,0,43,8
Feeling content with life right now. Grateful for the support from my colleagues.,low_stress,0,81,13
Made progress on my goals today. Feeling motivated.,low_stress,0,51,8
Had a good conversation with my family today.,low_stress,0,45,8
Feeling isolated. Haven't seen friends in weeks.,high_stress,1,48,7
"Lately, can't handle the pain anymore. need it to stop.",crisis,2,55,10
Had a difficult conversation today. Still feeling tense. Can't seem to focus on anything. Mind is all over the place.,high_stress,1,117,20
Work-life balance is completely off. Need a break.,high_stress,1,50,8
Made progress on my goals today. Feeling motivated.,low_stress,0,51,8
"Yesterday, i've been planning to hurt myself. can't take it anymore. I don't see a way out of this situation anymore.",crisis,2,117,21
Can't seem to focus on anything. Mind is all over the place. Work-life balance is completely off. Need a break.,high_stress,1,111,20
"Recently, grateful for the support from my colleagues. Feeling positive about the future.",low_stress,0,89,13
Just finished a nice walk in the park. The weather is beautiful.,low_stress,0,64,12
feeling like there's no point in continuing.,crisis,2,44,7
Feeling anxious about the upcoming presentation.,high_stress,1,48,6
"Today, feeling content with life right now.",low_stress,0,43,7
Feeling overwhelmed by responsibilities.,high_stress,1,40,4
"Lately, feeling anxious about the upcoming presentation.",high_stress,1,56,7
"Lately, thinking about suicide constantly. can't escape these thoughts.",crisis,2,71,9
"This week, grateful for the support from my colleagues.",low_stress,0,55,9
Had a restful sleep last night. Feeling refreshed.,low_stress,0,50,8
"Lately, haven't been sleeping well. mind keeps racing at night.",high_stress,1,63,10
"Lately, feeling content with life right now.",low_stress,0,44,7
"Recently, anxiety has been high this week. hard to relax.",high_stress,1,57,10
